,,,,,,,,,,,Map,,,Barchart,,,,,Linechart,,,,,,,,,,,,,Visual Features,,,Inform the severity,,,,Gauge the impact of crisis,,,,,Forecast trends and influences,,,,Guide to mitigate risks,,,,,Examinie the nature of the crisis,,,,,Data Handling,,,,
Title,URL,Publisher,Country,Source Type,Date Recorded,Date,Data Citation,Data Update,Time-series,Interactivity,Choropleth Map,Bubble Map,Other Map,Classic Barchart,Simple Stacked Barchart,100% Stacked Barchark,Diverging Stacked Barchart,Spanchart,Classic Linechart,Areachart,Stacked Areachart,Streamgraph,Piechart,Treemap,Scatterplot,Network,Bubblechart,Flowchart,Heatmap,Radar,Other Chart,Small Multiples,Dashboard,Severity in general,Magnitude Spread,"Supplies, Preparedness Capacities",Historical comparison,Impacts in general,Economic impact,Social impact,Environment impact,Political impact,Policy Order Intervention Related,Forecasting,R-Naught,Projections of numbers,Guide in general,Social Distancing,PPE,Hygiene,Flatten the curve,Explain the nature of the crisis in general,Explain coronavirus,"Map symptoms, diagnosis, treatment",Explain transimission  & reasonableness of intervention,Contact Tracing,Health Equity & Vulnerability,Normalize,Log/ Linear,Data disclaimer,Uncertainty VIS,Annotation Events
How to protect yourself against coronavirus | World news | The Guardian,https://www.theguardian.com/world/2020/mar/02/how-to-protect-yourself-coronavirus,The Guardian,UK,News Media,5/15/2020,3/2/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(23) Nicholas A. Christakis on Twitter: ""In this thread, I collect the threads about #COVID19 #SARSCoV2 that I have prepared on various aspects of the coronavirus pandemic. Please note that the situation is fluid and knowledge may change and be updated. Feel free to suggest topics in response to this tweet. 1/"" / Twitter",https://twitter.com/NAChristakis/status/1234815826345197568,Twitter,USA,Social Media Posts,3/15/2020,3/3/2020,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Coronavirus timeline: How the outbreak has unfolded | The Seattle Times,https://www.seattletimes.com/seattle-news/health/coronavirus-timeline-how-the-outbreak-unfolded/,Seattle Times,USA,News Media,4/7/2020,3/4/2020,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(20) Rosamund Pearce on Twitter: ""Spot the difference. It's fascinating to see a chart you made redesigned in a wildly different style #dataviz https://t.co/WZtAzWmLjJ https://t.co/wocwtp9GzE"" / Twitter",https://twitter.com/_rospearce/status/1235603201648402432,Twitter,USA,Social Media Posts,5/21/2020,3/4/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Facts about novel coronavirus and how to prevent COVID-19 | The Seattle Times,https://www.seattletimes.com/seattle-news/health/facts-about-novel-coronavirus-and-how-to-prevent-covid-19/,The Seattle Times,USA,News Media,4/30/2020,3/6/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sachin Tendulkar gives a lesson in Hand washing | #COVID19 - YouTube,https://www.youtube.com/watch?v=jTtGuonEfwU,YouTube,India,Social Media Posts,6/21/2020,3/6/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17 (or so) responsible live visualizations about the coronavirus, for you to use",https://blog.datawrapper.de/coronaviruscharts/,Chartable | Datawrapper,Germany,Independent Media,3/19/2020,3/6/2020,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MAP - Which parts of Italy have been hardest-hit by coronavirus? - The Local,https://www.thelocal.it/20200309/map-which-parts-of-italy-are-affected-by-coronavirus-outbreak,The Local it,Italy,News Media,3/19/2020,3/9/2020,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"(20) Alexander Radtke on Twitter: ""This #FlattenTheCurve graph surged to prominence this week. But it didn't say why it is so bad when medical treatment capacity is overwhelmed -&gt; mortality rate rises. So, here is a small animation that shows the value of early containment and double dividend of delay. #Covid19 https://t.co/YlMPZOpydp"" / Twitter",https://twitter.com/alxrdk/status/1237021885239635969,Twitter,USA,Social Media Posts,5/21/2020,3/9/2020,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Scientific Briefing,https://xkcd.com/2278/,xkcd,USA,Independent Media,5/14/2020,3/9/2020,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Coronavirus infection tracker -China Map-：Nikkei,https://vdata.nikkei.com/en/newsgraphics/coronavirus-china-map/,Nikkei Asian Review,Japan,News Media,3/19/2020,3/12/2020,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Coronavirus infection tracker -World Map-：Nikkei,https://vdata.nikkei.com/en/newsgraphics/coronavirus-world-map/,Nikkei Asian Review,Japan,News Media,3/19/2020,3/12/2020,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Coronavirus 10-day forecast,https://covid19.science.unimelb.edu.au/,"Spatial Ecology and Evolution Lab, Univ of Melbourne",Australia,NGO,4/4/2020,3/12/2020,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
